"","Nombre_archivo_escenario","Hoja_arboles","Edad_de_escenario","Edad_minima","Edad_maxima","Accion","Tiempo","Tipo_de_corta","Criterio_de_corta","Intensidad_de_corta","Arboles_porvenir","Especie_a_cortar","Objetivo_intensidad_de_corta","ID_Inventario","ID_Parcela","Anho","T","N","N_extraido","N_muerto","N_incorporado","G","g_maxima","g_minima","g_medio","G_extraida","G_muerta","G_incorporada","dbh_maximo","dbh_minimo","dbh_medio","dg","Do","Seccion_dominante","h_maxima","h_minima","h_media","Ho","d_medio_copa","Do_copa","FCC","Esbeltez","Esbeltez_dominante","SDI","HartBecking__marco_real","HartBecking__tresbolillo","SI","V_con_corteza","V_sin_corteza","V_de_corteza","V_extraido","V_muerto","V_incorporado","V_sierra_gruesa","V_sierra","V_sierra_canter","V_trituracion","WSW","WB2_t","WTBL","WR","WT","WT_muerta","WT_incorporada","Índice de Diversidad de Shannon-Weaver","Índice de Diversidad de Simpson","Índice de Diversidad Específica de Margalef","Índice de Diversidad de Pielou","Produccion_setas","IdZip","IdNombre","IdArchivo","IdEscenario","ID_Escenario_Archivo"
"2","scenario_1718962348800.json","Nodo 1 - Pies inventariados",0,"-","-","Inicialización",0,"-","-","-","-","-","-","ifn3",1,0,5,1793.13,NA,0,0,38.6014,791.7304,59.4468,215.2737,NA,NA,NA,31.75,8.7,15.6049,16.5558,28.1918,626.5952,15.5,1,10.936,14.8537,2.2531,2.3839,0.8004,70.0805,52.6881,916.3005,15.8986,17.0841,38.7194,229.1829,152.1179,77.0651,NA,NA,NA,0,4.6873,94.275,211.3704,91.684,5.5723,16.2226,23.5515,137.0304,NA,NA,NA,NA,NA,NA,0,"667447afe765f451382158ab.zip","667447afe765f451382158ab_Output_Plot_1.0.xlsx",1,1,"1.1"
"3","scenario_1718962348800.json","Nodo 2 - Pies inventariados",0,"-","-","Corta",0,"Corta por lo alto","Volumen","10","-","-","-","ifn3",1,0,5,1743.6361,2.7602,0,0,35.2198,629.0175,59.4468,201.9905,8.7602,0,0,28.3,8.7,15.2117,16.0369,25.9578,530.7124,15.5,1,10.8206,14.5663,2.2531,2.3839,0.8004,71.1337,56.1154,845.9662,16.4408,17.6668,38.7194,NA,NA,NA,10,0,0,NA,NA,79.3903,189.6904,82.2509,4.789,14.5807,20.6386,122.2593,0,0,NA,NA,NA,NA,0,"667447afe765f451382158ab.zip","667447afe765f451382158ab_Output_Plot_1.0.xlsx",1,1,"1.1"
"4","scenario_1718962348800.json","Nodo 3 - Pies inventariados",5,"-","-","Ejecución",5,"-","-","-","-","-","-","ifn3",1,5,10,1716.3631,NA,27.273,0,43.1537,717.2629,86.2579,251.4251,NA,0.2568,0,30.22,10.4798,17.1385,17.892,27.8764,611.8432,16.4119,1.1133,11.8442,15.431,2.4424,2.5447,0.8729,69.1089,55.3551,995.2841,15.6423,16.8088,38.7194,268.3143,178.8204,89.4939,NA,1.1041,0,0,3.4189,123.1421,249.7019,106.0468,6.4665,18.3852,27.1166,158.015,0.6658,0,NA,NA,NA,NA,0,"667447afe765f451382158ab.zip","667447afe765f451382158ab_Output_Plot_1.0.xlsx",1,1,"1.1"
"5","scenario_1718962348800.json","Nodo 4 - Pies inventariados",5,"-","-","Corta",0,"Corta por lo alto","Densidad","10","-","-","-","ifn3",1,5,10,1544.7268,10,0,0,33.7337,445.7628,86.2579,218.3795,21.829,0,0,23.8236,10.4798,16.1149,16.6748,22.9906,415.2165,15.0175,1.1133,11.5021,14.3911,2.4424,2.5447,0.8729,71.3756,62.5954,798.6283,17.68,18.9983,38.7194,NA,NA,NA,23.9465,0,0,NA,NA,78.6908,188.985,80.105,4.5276,13.9626,19.6538,118.249,0,0,NA,NA,NA,NA,0,"667447afe765f451382158ab.zip","667447afe765f451382158ab_Output_Plot_1.0.xlsx",1,1,"1.1"
"6","scenario_1718962348800.json","Nodo 5 - Pies inventariados",8,"-","-","Ejecución",3,"-","-","-","-","-","-","ifn3",1,8,13,1527.8666,NA,16.8601,0,41.2479,518.748,119.3252,269.9708,NA,0.2139,0,25.7,12.326,18.0293,18.5402,24.8734,485.9939,15.9759,1.2152,12.4455,15.249,2.5704,2.6378,0.8349,69.0291,61.3064,938.8538,16.777,18.0281,38.7194,263.6174,175.897,87.7205,NA,0.9841,0,0,0,124.056,245.8936,102.7915,6.1352,17.5895,25.861,152.3772,0.5918,0,NA,NA,NA,NA,0.0588,"667447afe765f451382158ab.zip","667447afe765f451382158ab_Output_Plot_1.0.xlsx",1,1,"1.1"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","scenario_1718962589146.json","Nodo 1 - Pies inventariados",0,"-","-","Inicialización",0,"-","-","-","-","-","-","ifn3",1,0,5,1793.13,NA,0,0,38.6014,791.7304,59.4468,215.2737,NA,NA,NA,31.75,8.7,15.6049,16.5558,28.1918,626.5952,15.5,1,10.936,14.8537,2.2531,2.3839,0.8004,70.0805,52.6881,916.3005,15.8986,17.0841,38.7194,229.1829,152.1179,77.0651,NA,NA,NA,0,4.6873,94.275,211.3704,91.684,5.5723,16.2226,23.5515,137.0304,NA,NA,NA,NA,NA,NA,0,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"10","scenario_1718962589146.json","Nodo 2 - Pies inventariados",5,"-","-","Ejecución",5,"-","-","-","-","-","-","ifn3",1,5,10,1758.2151,NA,34.9149,0,46.2555,905.7037,79.6686,263.0823,NA,0.3349,0,33.9585,10.0716,17.3674,18.3021,30.3394,725.4109,16.4351,1.1069,11.9423,15.7085,2.4577,2.5852,0.9229,68.763,51.776,1057.8928,15.182,16.3141,38.7194,291.9432,195.2333,96.7099,NA,1.4614,0,0,18.7829,134.4802,272.2523,115.7171,7.342,19.9848,30.2041,173.248,0.8788,0,NA,NA,NA,NA,0,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"11","scenario_1718962589146.json","Nodo 3 - Pies inventariados",5,"-","-","Corta",0,"Corta por lo alto","Densidad","3","-","-","-","ifn3",1,5,10,1705.4687,3,0,0,42.1205,728.1878,79.6686,246.9734,8.9394,0,0,30.4493,10.0716,16.9285,17.7329,27.8864,612.368,16.4351,1.1069,11.8219,15.426,2.4577,2.5852,0.9229,69.8345,55.3172,974.6808,15.6973,16.8679,38.7194,NA,NA,NA,10.068,0,0,NA,7.0588,118.3684,244.1594,103.6984,6.3067,17.9327,26.4411,154.3789,0,0,NA,NA,NA,NA,0,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"12","scenario_1718962589146.json","Nodo 4 - Pies inventariados",18,"-","-","Ejecución",13,"-","-","-","-","-","-","ifn3",1,18,23,1672.5226,NA,32.9461,0,49.6959,810.1066,108.0344,297.1317,NA,0.4105,0,32.1163,11.7283,18.7127,19.4504,29.5653,688.1203,17.2326,1.2047,12.7419,16.1847,2.6219,2.7218,0.9731,68.092,54.7421,1111.2044,15.1081,16.2347,38.7194,325.6818,218.457,107.2248,NA,1.9491,0,0,12.9902,164.4464,304.8993,127.7199,8.083,21.6817,33.1097,190.5943,1.1585,0,NA,NA,NA,NA,0.4359,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"13","scenario_1718962589146.json","Nodo 5 - Pies inventariados",18,"-","-","Corta",0,"Corta por lo alto","Volumen","20","-","-","-","ifn3",1,18,23,1531.8895,8.4084,0,0,40.6303,527.2564,108.0344,265.2303,18.2421,0,0,25.9099,11.7283,17.8067,18.3767,25.0623,493.5244,15.9007,1.2047,12.4552,14.9285,2.6219,2.7218,0.9731,69.9466,59.5655,927.8407,17.1147,18.391,38.7194,NA,NA,NA,20,0,0,NA,NA,121.5641,243.1074,101.5936,6.044,17.3173,25.4626,150.4174,0,0,NA,NA,NA,NA,0.4359,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"14","scenario_1718962589146.json","Nodo 6 - Pies inventariados",18,"-","-","Corta",0,"Corta por lo alto","Área Basimétrica","3","-","-","-","ifn3",1,18,23,1508.4205,1.532,0,0,39.4114,515.2834,108.0344,261.2762,3,0,0,25.614,11.7283,17.6837,18.2392,24.7922,482.8538,15.9007,1.2047,12.4174,15.1408,2.6219,2.7218,0.9731,70.2194,61.0708,902.5167,17.0056,18.2737,38.7194,NA,NA,NA,NA,0,0,NA,NA,115.4611,235.2554,98.2677,5.8036,16.7514,24.5248,145.3475,0,0,NA,NA,NA,NA,0.4359,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"15","scenario_1718962589146.json","Nodo 7 - Pies inventariados",43,"-","-","Ejecución",25,"-","-","-","-","-","-","ifn3",1,43,48,1488.3135,NA,20.1071,0,46.6564,585.0753,142.3351,313.4849,NA,0.319,0,27.2936,13.462,19.4697,19.9785,26.4848,551.0182,16.7584,1.2947,13.2786,16.0102,2.7348,2.8019,0.9177,68.2013,60.4505,1032.9229,16.1903,17.3976,38.7194,313.0538,210.147,102.9068,NA,1.5992,0,0,0,173.2486,292.7338,121.2636,7.5067,20.3472,30.9287,180.0461,0.9487,0,NA,NA,NA,NA,0.7025,"667546bc2a68d906f079d1f3.zip","667546bc2a68d906f079d1f3_Output_Plot_1.0.xlsx",1,2,"2.1"
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
